Date,AAPL,SPY,MSFT,ETH ,BTC
6/28/2017,36.4575,243.490005,69.800003,#N/A,#N/A
6/29/2017,35.919998,241.350006,68.489998,#N/A,#N/A
6/30/2017,36.005001,241.800003,68.93,#N/A,#N/A
7/3/2017,35.875,242.210007,68.169998,#N/A,#N/A
7/5/2017,36.022499,242.770004,69.080002,#N/A,#N/A
7/6/2017,35.682499,240.550003,68.57,#N/A,#N/A
7/7/2017,36.044998,242.110001,69.459999,#N/A,#N/A
7/10/2017,36.264999,242.369995,69.980003,#N/A,#N/A
7/11/2017,36.3825,242.190002,69.989998,#N/A,#N/A
7/12/2017,36.435001,244.009995,71.150002,#N/A,#N/A
7/13/2017,36.942501,244.419998,71.769997,#N/A,#N/A
7/14/2017,37.259998,245.559998,72.779999,#N/A,#N/A
7/17/2017,37.389999,245.529999,73.349998,#N/A,#N/A
7/18/2017,37.52,245.660004,73.300003,#N/A,#N/A
7/19/2017,37.755001,246.990005,73.860001,#N/A,#N/A
7/20/2017,37.584999,247.100006,74.220001,#N/A,#N/A
7/21/2017,37.567501,246.880005,73.790001,#N/A,#N/A
7/24/2017,38.022499,246.820007,73.599998,#N/A,#N/A
7/25/2017,38.185001,247.419998,74.190002,#N/A,#N/A
7/26/2017,38.365002,247.429993,74.050003,#N/A,#N/A
7/27/2017,37.639999,247.199997,73.160004,#N/A,#N/A
7/28/2017,37.375,246.910004,73.040001,#N/A,#N/A
7/31/2017,37.182499,246.770004,72.699997,#N/A,#N/A
8/1/2017,37.512501,247.320007,72.580002,#N/A,#N/A
8/2/2017,39.285,247.440002,72.260002,#N/A,#N/A
8/3/2017,38.892502,246.960007,72.150002,#N/A,#N/A
8/4/2017,39.0975,247.410004,72.68,#N/A,#N/A
8/7/2017,39.702499,247.869995,72.400002,#N/A,#N/A
8/8/2017,40.02,247.259995,72.790001,#N/A,#N/A
8/9/2017,40.264999,247.25,72.470001,#N/A,#N/A
8/10/2017,38.830002,243.759995,71.410004,#N/A,#N/A
8/11/2017,39.369999,244.119995,72.5,#N/A,#N/A
8/14/2017,39.962502,246.539993,73.589996,#N/A,#N/A
8/15/2017,40.400002,246.509995,73.220001,#N/A,#N/A
8/16/2017,40.237499,246.940002,73.650002,#N/A,#N/A
8/17/2017,39.465,243.089996,72.400002,#N/A,#N/A
8/18/2017,39.375,242.710007,72.489998,#N/A,#N/A
8/21/2017,39.302502,242.899994,72.150002,#N/A,#N/A
8/22/2017,39.945,245.440002,73.160004,#N/A,#N/A
8/23/2017,39.994999,244.559998,72.720001,#N/A,#N/A
8/24/2017,39.817501,243.990005,72.690002,#N/A,#N/A
8/25/2017,39.965,244.559998,72.82,#N/A,#N/A
8/28/2017,40.3675,244.570007,72.830002,#N/A,#N/A
8/29/2017,40.727501,244.850006,73.050003,#N/A,#N/A
8/30/2017,40.837502,246.009995,74.010002,#N/A,#N/A
8/31/2017,41,247.490005,74.769997,#N/A,#N/A
9/1/2017,41.012501,247.839996,73.940002,#N/A,#N/A
9/5/2017,40.52,246.059998,73.610001,#N/A,#N/A
9/6/2017,40.477501,246.899994,73.400002,#N/A,#N/A
9/7/2017,40.314999,246.869995,74.339996,#N/A,#N/A
9/8/2017,39.657501,246.580002,73.980003,#N/A,#N/A
9/11/2017,40.375,249.210007,74.760002,#N/A,#N/A
9/12/2017,40.215,250.050003,74.68,#N/A,#N/A
9/13/2017,39.912498,250.169998,75.209999,#N/A,#N/A
9/14/2017,39.57,250.089996,74.769997,#N/A,#N/A
9/15/2017,39.970001,249.190002,75.309998,#N/A,#N/A
9/18/2017,39.6675,249.720001,75.160004,#N/A,#N/A
9/19/2017,39.682499,249.970001,75.440002,#N/A,#N/A
